cluster_id	x	y	num_recent_articles	cluster_category	growth_rating	key_concepts
17774	4.416	125.6586	432	0	47.25	94784,144686,193015,44254,147620
50601	-25.3757	123.5839	106	0	9.69	53361,70257,193398,49804,161100
28501	17.9547	123.4676	351	0	27.49	16932,217076,78801,30458,9865
32993	19.885	123.131	314	0	64.73	30002,131896,103974,185861,9990
72170	24.9443	117.1128	70	0	56.91	147616,31025,192976,81723,76428
31209	-4.107	120.1016	183	0	52.33	245639,270917,75401,155741,135545
27292	8.7314	125.6046	260	0	36.39	126236,87396,267064,267071,93291
58937	-35.6371	115.3679	38	0	51.27	56843,9886,47650,272216,61738
32850	4.8659	123.9348	299	0	18.06	147303,57199,254271,122103,104296
80163	-24.4534	116.0804	52	0	91.31	195875,167468,194918,45508,210957
56265	-46.048	135.6826	80	0	71.25	83781,219003,247571,182227,219002
37494	11.2912	119.9574	128	0	46.02	88949,198948,198949,88950,7071
83733	6.5744	124.6078	110	0	89.76	134540,193011,239345,192992,96646
50786	15.8106	121.4381	180	0	52.24	171501,36452,77132,7508,45343
66220	-20.5611	118.9461	163	0	73.53	245461,254849,245462,254846,213418
83527	-37.2928	126.589	37	0	58.41	74528,135857,42976,40147,56571
57505	11.175	124.1129	108	0	75.2	36452,11887,192956,213208,30467
62087	-39.7611	120.4743	215	0	56.02	209254,6593,6600,209256,209255
81794	9.7646	124.6206	98	0	73.14	45595,256142,156472,26508,254847
54730	33.2596	120.6838	231	0	70.94	224487,76444,207252,29939,247972
52632	10.1066	122.3069	121	0	71.41	36452,119393,15077,255313,156412
58248	13.4133	114.1401	71	0	68.99	8404,91473,152241,236276,40843
81600	-14.9087	120.9235	71	0	84.92	61703,254803,157990,192948,252294
61666	24.0434	122.5232	152	0	30.57	60773,207253,159865,192468,30456
44236	34.8832	122.8812	192	0	91.31	101506,192948,7196,60401,54785
44339	-18.8195	118.4561	155	0	13.09	65092,76470,20806,195003,65093
41185	-7.127	130.9194	229	0	53.98	207495,59456,262165,126125,123713
65851	-16.3785	114.6352	23	0	42.41	76411,126399,5978,219254,76410
34248	-0.3777	152.9546	158	0	37.78	35671,105937,192983,126137,16658
32980	10.5149	125.2914	279	0	46.18	22123,26508,12502,26744,53389
77433	-22.8076	113.1066	36	0	93.85	12567,144260,222003,222006,142318
70143	22.219	125.9209	127	0	41.05	254741,128053,26508,47584,192953
61400	13.9715	119.1763	122	0	83.92	88755,269560,63473,192980,193029
40758	-0.6688	127.1486	144	0	74.58	272590,153186,226573,229926,125718
38016	0.8091	126.2065	284	0	72.44	254741,77791,126003,8079,255314
71522	15.5364	123.1479	84	0	81.98	26508,16901,173101,206358,70449
65498	-5.4058	122.9353	141	0	31.95	160252,99994,263163,17107,30652
75090	-30.2119	121.4056	79	0	65.49	93156,159509,93232,5791,75127
73370	-3.8737	125.3309	81	0	91.61	273130,79156,128986,8079,192990
62981	-25.5874	127.7406	161	0	62.46	45322,69284,136482,112898,123954
22980	-1.4664	125.5817	302	0	36.25	254857,137572,192948,63419,160372
44452	-2.0281	148.2764	22	0	95.26	115107,272429,7666,134678,31346
47085	-29.2252	115.2472	168	0	9.14	144599,56541,20807,126125,208213
78874	-13.0354	120.1442	54	0	59.67	126312,193039,230087,251637,73301
75199	44.6342	121.5636	56	0	74.26	193012,60773,118735,257037,81600
71700	4.5209	120.3189	51	0	9.2	198839,228470,107477,13295,26508
72859	12.9792	122.1304	72	0	62.79	117080,26508,156472,89263,156473
48186	0.3815	125.3289	277	0	22.34	119008,206533,8079,167275,255322
82936	7.5878	126.0697	59	0	41.83	78803,30477,26508,119267,61618
79089	15.6019	125.1001	69	0	89.39	54577,83960,60400,76158,192997
67828	13.0704	124.6714	106	0	27.06	26508,120275,128053,45053,193036
10195	0.4862	150.9104	399	0	17.24	210807,192948,210806,82068,261327
84405	6.1931	131.6437	22	0	91.19	139138,40623,47359,139139,184154
64684	-25.1191	120.4791	122	0	38.32	72843,72842,74279,218976,141385
53904	11.3721	125.8605	148	0	36.82	105472,36920,135782,19839,36340
69132	-3.3523	133.6486	124	0	86.81	84221,221622,6597,223894,77975
73755	17.7755	120.3759	38	0	85.68	51293,120122,36452,103758,193037
84254	-5.141	138.2125	36	0	86.04	15933,128356,62422,100011,132023
56327	-13.2648	117.7665	122	0	10.33	60391,205380,199108,205343,119701
26868	-11.6985	120.9755	207	0	32.4	271217,210857,70466,126999,83776
65286	16.2939	123.5211	117	0	78.53	26508,44616,44253,192948,119537
68633	-14.118	118.764	92	0	100.0	59476,72044,144699,50804,258316
72287	15.1884	119.942	102	0	20.76	255328,105201,63473,192984,91489
58625	-29.2737	117.5988	42	0	65.85	152255,81640,273888,7134,223844
64596	-22.2184	119.5356	77	0	62.83	93600,141738,144532,254881,266822
50414	0.862	123.8825	218	0	29.91	76420,160252,217767,92517,100353
55236	1.7202	122.5735	32	0	87.85	19839,127864,177773,182242,206018
81522	-19.2874	112.6149	42	0	88.9	55915,144624,44285,224474,68516
63365	-68.8577	91.829	90	0	83.84	38854,75401,45538,83911,69846
70567	16.6073	122.2285	110	0	54.93	156470,10002,26508,254857,76414
59106	-29.8551	123.3818	130	0	55.79	26744,213418,14042,213406,56552
34040	7.7567	123.5294	187	0	44.44	23307,162909,21907,193009,77758
50541	10.9488	122.5253	138	0	24.59	263467,26508,31750,241049,102654
56854	-21.667	118.1909	97	0	92.58	141332,268113,57286,57287,141333
56535	-1.6713	124.4707	88	0	88.77	163003,93217,87505,93147,85379
60078	-7.5415	125.0696	134	0	69.14	127860,127863,19597,103025,4332
52371	10.7338	123.4068	79	0	60.79	59452,102627,255317,59460,149135
58457	-57.3828	146.5296	121	0	68.88	246788,30685,252060,182234,245076
76073	-66.7556	151.5002	281	0	79.36	40607,195808,195807,207874,250868
49531	25.9052	56.4863	140	0	51.69	199006,49623,251987,188366,217757
42972	11.7013	138.6282	273	0	34.35	129309,254866,144686,71679,64732
86193	-23.2271	137.12	39	0	93.88	62285,236483,135354,157339,126003
56847	3.8473	117.7297	77	0	97.46	193402,76495,271438,271437,100244
83017	-44.2653	144.8719	100	0	48.5	25844,254831,119297,188083,165887
18043	-4.346	152.8684	312	0	43.68	209487,153891,93156,7834,103050
83271	-75.4619	164.4971	60	0	50.2	221285,254881,188788,265908,106078
25247	-31.9957	163.0036	103	0	23.56	93225,93334,213824,181782,180625
63426	11.926	134.6389	112	0	79.23	232326,247812,79230,83743,231888
85070	-40.8833	150.9677	31	0	54.36	11875,254301,93334,11882,166414
59203	11.3882	133.2423	140	0	38.39	72915,93455,8943,8999,23875
60547	-1.6037	126.5214	122	0	86.39	193086,8079,255314,143619,147285
57739	-24.4275	137.0576	107	0	51.5	45433,157703,72937,190615,220584
21356	-62.6855	151.8808	379	0	14.47	271029,184905,188123,66264,13273
80303	13.1124	136.412	84	0	84.73	114793,114795,53023,114794,49799
33944	-54.6474	146.0079	149	0	49.25	83750,246603,255181,186508,56824
53471	-40.3815	120.531	138	0	77.97	213539,126125,99807,24820,171433
79533	39.3727	46.5693	47	0	95.95	221246,71226,119676,252258,95178
79505	38.8	120.5895	21	0	94.51	120488,66631,43763,88285,26547
75528	11.4436	116.6291	83	0	74.33	52138,158410,90965,2572,104617
73687	1.6975	140.8475	92	0	17.81	119250,248020,100973,121610,192948
53536	-16.1992	138.1999	79	0	42.41	229622,229621,232329,103508,99494
55120	-58.5951	155.9009	115	0	28.02	217347,111229,52792,13555,102650
68149	23.2166	72.2917	147	0	69.52	49412,205299,6327,45543,101594
79024	34.6622	122.0976	48	0	87.25	65142,90966,61704,60400,130888
66680	-23.5187	138.635	59	0	71.99	3733,126125,190605,115428,1915
55830	62.3059	141.1338	87	0	55.49	156160,26508,228452,8790,60683
38654	15.6264	118.6577	141	0	85.11	96646,193083,193021,194764,56388
67367	-63.9811	190.1111	11	0	96.74	139330,165337,93469,170427,191061
56671	15.8703	122.9252	74	0	33.66	62447,61592,76690,144649,76422
45910	28.2015	69.4904	55	0	78.4	265985,40817,258289,87414,150388
76132	10.0591	133.0593	144	0	62.74	192948,61584,15918,218807,192468
67052	-124.277	172.3375	32	0	95.32	93411,243886,103607,265905,272252
74567	-15.7822	128.4757	47	0	28.68	81356,88435,235105,232835,179850
51096	16.1881	84.3993	103	0	64.77	199006,151095,228451,128849,42656
39411	-58.3746	135.0961	138	0	44.0	232835,194879,55725,232689,255552
15527	7.0354	102.3104	279	0	17.12	22972,103033,186338,258732,199000
81910	37.2652	46.4823	35	0	95.21	91367,2118,95643,135531,58851
44170	-0.4449	115.9586	112	0	43.86	188084,270761,243497,232479,185863
75847	11.4432	132.3016	167	0	10.2	134639,103576,193040,103574,49796
40485	22.1536	125.1689	128	0	28.56	207901,2118,126241,44659,71259
11978	8.5133	129.5505	280	0	39.2	32780,36452,149610,105121,96495
76595	45.6903	125.3483	67	0	76.31	22176,208621,96820,93156,145329
